date,home_team,away_team,home_goals,away_goals,round,elo_h,elo_a,elo_diff,h_win5,a_win5,h_gf5,a_gf5,h_ga5,a_ga5,h_gd5,a_gd5,h_win10,a_win10,h_gf10,a_gf10,h_ga10,a_ga10,h_gd10,a_gd10,h2h_n,h2h_h_winrate,h2h_a_winrate
1950-06-25,Spain,USA,3,1,FIFA World Cup,1646.192525617157,1515.543831109126,130.64869450803099,0.3333,0.5,1.33,2.0,1.0,3.25,0.33,-1.25,0.3333,0.5,1.33,2.0,1.0,3.25,0.33,-1.25,0,0.0,0.0
1950-06-25,Switzerland,Yugoslavia,0,3,FIFA World Cup,1655.4848149107456,1554.685289702892,100.79952520785355,0.4,0.6667,2.0,2.33,2.0,2.33,0.0,0.0,0.4,0.6667,2.0,2.33,2.0,2.33,0.0,0.0,0,0.0,0.0
1950-06-28,Brazil,Switzerland,2,2,FIFA World Cup,1660.67538579145,1488.1667284913065,172.50865730014357,0.6,0.2,2.4,1.4,1.2,2.2,1.2,-0.8,0.5556,0.3333,2.67,1.67,1.78,2.17,0.89,-0.5,0,0.0,0.0
1950-06-28,Mexico,Yugoslavia,1,4,FIFA World Cup,1480.4909201185553,1622.0033761223312,-141.51245600377592,0.0,0.75,1.0,2.5,4.25,1.75,-3.25,0.75,0.0,0.75,1.0,2.5,4.25,1.75,-3.25,0.75,0,0.0,0.0
1950-06-29,Paraguay,Sweden,2,2,FIFA World Cup,1580.1802127450453,1581.7164151686493,-1.5362024236039815,0.5,0.4,0.5,3.0,1.5,2.6,-1.0,0.4,0.5,0.5,0.5,3.0,1.5,2.5,-1.0,0.5,0,0.0,0.0
1950-06-29,Chile,Spain,0,2,FIFA World Cup,1560.1327658672706,1575.0257788533893,-14.89301298611872,0.5,0.5,1.25,1.75,1.25,1.0,0.0,0.75,0.5,0.5,1.25,1.75,1.25,1.0,0.0,0.75,0,0.0,0.0
1950-06-29,England,USA,0,1,FIFA World Cup,1659.9636570521889,1486.7105778728935,173.25307917929536,1.0,0.4,2.0,1.8,0.0,3.2,2.0,-1.4,1.0,0.4,2.0,1.8,0.0,3.2,2.0,-1.4,0,0.0,0.0
1950-07-01,Brazil,Yugoslavia,2,0,FIFA World Cup,1646.8941121978671,1654.2287951649282,-7.334682967061099,0.6,0.8,2.6,2.8,1.4,1.6,1.2,1.2,0.5,0.8,2.6,2.8,1.8,1.6,0.8,1.2,1,0.0,0.0
1950-07-02,Bolivia,Uruguay,0,8,FIFA World Cup,1466.0938055387214,1648.5146063267725,-182.4208007880511,0.0,1.0,0.0,3.75,4.0,0.75,-4.0,3.0,0.0,1.0,0.0,3.75,4.0,0.75,-4.0,3.0,0,0.0,0.0
1950-07-02,Chile,USA,5,2,FIFA World Cup,1517.060534453159,1530.5425156209556,-13.481981167796448,0.4,0.4,1.0,1.4,1.4,3.2,-0.4,-1.8,0.4,0.5,1.0,1.67,1.4,2.67,-0.4,-1.0,0,0.0,0.0
